Sid Catlett,Hot Lips Page,CH
Sid Catlett,Mildred Bailey,CH
Sid Catlett,Jimmy Rushing,CH
Sid Catlett,Count Basie,CH
Sid Catlett,Ralph Cooper (Apollo),CH
Sid Catlett,Erskine Hawkins,CH
Sid Catlett,Oscar Pettiford,CH
Sid Catlett,Josh White,CH
Sid Catlett,Teddy Wilson,CH
Sid Catlett,Hazel Scott,CH
Sid Catlett,Billie Holiday,CH
Sid Catlett,Trummy Young,CH
Sid Catlett,Pops Foster,CH
Sid Catlett,Ben Webster,CH
Sid Catlett,Thelma Carpenter,CH
Sid Catlett,Mary Lou Williams,CH
Sid Catlett,Cozy Cole,CH
Sid Catlett,Buster Bailey,CH
Sid Catlett,Russell Procope,CH
Sid Catlett,Billy Kyle,CH
Sid Catlett,Charlie Shavers,CH
Sid Catlett,John Kirby (musician),CH
Sid Catlett,Edmond Hall,CH
Sid Catlett,Johnny Williams (blues musician),CH
Sid Catlett,Earl Hines,CH
Sid Catlett,Louis Armstrong,CH
Sid Catlett,Fred Robbins %28broadcaster%29,CH
Sid Catlett,Arvell Shaw,CH
Sid Catlett,Jack Teagarden,CH
Sid Catlett,Barney Bigard,CH
Sid Catlett,Hank Jones,CH
Sid Catlett,Dave Tough,CH
Sid Catlett,Charlie Ventura,CH
Sid Catlett,Ralph Burns,CH
Sid Catlett,Benny Morton,CH
Sid Catlett,Bill Coleman,CH
Sid Catlett,Al Hall (musician),CH
Sid Catlett,Pete Johnson,CH
Dan Minor,Dicky Wells,CH
Dan Minor,Freddie Green,CH
Dan Minor,Count Basie,CH
Dan Minor,Lester Young,CH
Dan Minor,Herschel Evans,CH
Dan Minor,Harry Edison,CH
Dan Minor,Buck Clayton,CH
Dan Minor,Jimmy Rushing,CH
Dan Minor,Helen Humes,CH
Dan Minor,Earle Warren,CH
Dan Minor,Walter Page,CH
Dan Minor,Meade Lux Lewis,CH
Dan Minor,Eddie Durham,CH
Dan Minor,Pete Johnson,CH
Dan Minor,Ed Lewis (musician),CH
Dan Minor,Joe Turner (jazz pianist),CH
Dan Minor,Shad Collins,CH
Dan Minor,Benny Morton,CH
Dan Minor,Sidney Bechet,CH
Dan Minor,Jo Jones,CH
Dan Minor,James P. Johnson,CH
Cozy Cole,Benny Goodman,CH
Cozy Cole,Charlie Shavers,CH
Cozy Cole,Barney Bigard,CH
Cozy Cole,Teddy Wilson,CH
Cozy Cole,Israel Crosby,CH
Cozy Cole,Louis Armstrong,CH
Cozy Cole,Ziggy Elman,CH
Cozy Cole,Gene Krupa,CH
Cozy Cole,Arvell Shaw,CH
Cozy Cole,Trummy Young,CH
Cozy Cole,Hot Lips Page,CH
Cozy Cole,Mildred Bailey,CH
Cozy Cole,Jimmy Rushing,CH
Cozy Cole,Count Basie,CH
Cozy Cole,Ralph Cooper (Apollo),CH
Cozy Cole,Erskine Hawkins,CH
Cozy Cole,Oscar Pettiford,CH
Cozy Cole,Josh White,CH
Cozy Cole,Hazel Scott,CH
Cozy Cole,Billie Holiday,CH
Cozy Cole,Pops Foster,CH
Cozy Cole,Ben Webster,CH
Cozy Cole,Sid Catlett,CH
Cozy Cole,Thelma Carpenter,CH
Cozy Cole,Mary Lou Williams,CH
Cozy Cole,Edmond Hall,CH
Cozy Cole,Max Kaminsky (musician),CH
Cozy Cole,Eddie Condon,CH
Cozy Cole,Jack Lesberg,CH
Cozy Cole,Bill Davison,CH
Cozy Cole,Sidney Bechet,CH
Cozy Cole,Kansas Fields,CH
Cozy Cole,Bob Haggart,CH
Cozy Cole,Benny Morton,CH
Cozy Cole,Dave Tough,CH
Cozy Cole,Sammy Price,CH
Cozy Cole,Kaiser Marshall,CH
Cozy Cole,Tommy Dorsey,CH
Cozy Cole,Bobby Hackett,CH
Cozy Cole,Yank Lawson,CH
Cozy Cole,Bill Coleman,CH
Cozy Cole,Pee Wee Russell,CH
Cozy Cole,George Wettling,CH
Cozy Cole,Woody Herman,CH
Cozy Cole,Miff Mole,CH
Cozy Cole,Joe Marsala,CH
Cozy Cole,Danny Alvin,CH
Cozy Cole,Joe Thomas (saxophonist),CH
Cozy Cole,James P. Johnson,CH
George Gershwin,Paul Whiteman,CH
Morey Feld,Benny Goodman,CH
Morey Feld,Wardell Gray,CH
Morey Feld,Teddy Wilson,CH
Morey Feld,Jonah Jones,CH
James P. Johnson,Bud Freeman,CH
James P. Johnson,Dave Tough,CH
James P. Johnson,Bob Haggart,CH
James P. Johnson,Tony Parenti,CH
James P. Johnson,Max Kaminsky (musician),CH
James P. Johnson,Eddie Condon,CH
James P. Johnson,Jack Lesberg,CH
James P. Johnson,Bill Davison,CH
James P. Johnson,George Wettling,CH
James P. Johnson,Baby Dodds,CH
James P. Johnson,Pee Wee Russell,CH
James P. Johnson,Dicky Wells,CH
James P. Johnson,Freddie Green,CH
James P. Johnson,Count Basie,CH
James P. Johnson,Lester Young,CH
James P. Johnson,Herschel Evans,CH
James P. Johnson,Harry Edison,CH
James P. Johnson,Buck Clayton,CH
James P. Johnson,Jimmy Rushing,CH
James P. Johnson,Helen Humes,CH
James P. Johnson,Earle Warren,CH
James P. Johnson,Walter Page,CH
James P. Johnson,Meade Lux Lewis,CH
James P. Johnson,Eddie Durham,CH
James P. Johnson,Pete Johnson,CH
James P. Johnson,Ed Lewis (musician),CH
James P. Johnson,Joe Turner (jazz pianist),CH
James P. Johnson,Shad Collins,CH
James P. Johnson,Benny Morton,CH
James P. Johnson,Dan Minor,CH
James P. Johnson,Sidney Bechet,CH
James P. Johnson,Jo Jones,CH
James P. Johnson,Charlie Christian,CH
James P. Johnson,Artie Bernstein,CH
James P. Johnson,Fletcher Henderson,CH
James P. Johnson,Benny Goodman,CH
James P. Johnson,Hot Lips Page,CH
James P. Johnson,Miff Mole,CH
James P. Johnson,Joe Thomas (saxophonist),CH
James P. Johnson,Yank Lawson,CH
James P. Johnson,Sammy Price,CH
James P. Johnson,Joe Marsala,CH
James P. Johnson,Cozy Cole,CH
James P. Johnson,Kansas Fields,CH
James P. Johnson,Edmond Hall,CH
Billy Eckstine,Eddie %22Lockjaw%22 Davis,CH
Billy Eckstine,George Shearing,CH
Billy Eckstine,Budd Johnson,CH
Billy Eckstine,Tommy Potter,CH
Billy Eckstine,http://musicbrainz.org/artist/ca4861f2-04a8-4e6d-85bd-94c598988eff,CH
Billy Eckstine,Symphony Sid,CH
Billy Eckstine,Bobby Tucker,CH
Billy Eckstine,Earl Bostic,CH
Billy Eckstine,Lucky Millinder,CH
Billy Eckstine,Sarah Vaughan,CH
Billy Eckstine,Illinois Jacquet,CH
Billy Eckstine,Billy Strayhorn,CH
Billy Eckstine,Billie Holiday,CH
Billy Eckstine,Mary Lou Williams,CH
Billy Eckstine,Count Basie,CH
Billy Eckstine,Bull Moose Jackson,CH
Billy Eckstine,Cootie Williams,CH
Billy Eckstine,Jo Jones,CH
Billy Eckstine,Ella Fitzgerald,CH
Billy Eckstine,Ed Sullivan,CH
Billy Eckstine,J. C. Heard,CH
Billy Eckstine,Slam Stewart,CH
Billy Eckstine,Walter Page,CH
Billy Eckstine,Arnett Cobb,CH
Billy Eckstine,Dizzy Gillespie,CH
Billy Eckstine,Lionel Hampton,CH
Billy Eckstine,Thelma Carpenter,CH
Billy Eckstine,Roy Haynes,CH
Billy Eckstine,Duke Ellington,CH
Billy Eckstine,Teddy Charles,CH
Billy Eckstine,Stan Getz,CH
Billy Eckstine,Ahmad Jamal,CH
Billy Eckstine,Charlie Parker,CH
Billy Eckstine,Lester Young,CH
Billy Eckstine,Erskine Hawkins,CH
Billy Eckstine,Dinah Washington,CH
Billy Eckstine,Wynonie Harris,CH
Billy Eckstine,Buddy Johnson,CH
Billy Eckstine,Harry Belafonte,CH
Billy Eckstine,Eddie Heywood,CH
Billy Eckstine,Nat King Cole,CH
Billy Eckstine,Louis Jordan,CH
Billy Eckstine,Larry Darnell,CH
Percy Heath,Charlie Parker,CH
Percy Heath,Gus Johnson (jazz musician),CH
Percy Heath,Kenny Clarke,CH
Percy Heath,Joe Benjamin,CH
Percy Heath,Lester Young,CH
Percy Heath,Billie Holiday,CH
Percy Heath,Count Basie,CH
Percy Heath,Sarah Vaughan,CH
Percy Heath,Benny Powell,CH
Percy Heath,John Lewis (pianist),CH
Percy Heath,Frank Foster (musician),CH
Percy Heath,Jimmy Jones (pianist),CH
Percy Heath,Frank Wess,CH
Percy Heath,Roy Haynes,CH
Percy Heath,Joe Newman (trumpeter),CH
Percy Heath,Henry Coker,CH
Bix Beiderbecke,Frankie Trumbauer,CH
Bix Beiderbecke,Paul Whiteman,CH
Pee Wee Russell,Max Kaminsky (musician),CH
Pee Wee Russell,Hot Lips Page,CH
Pee Wee Russell,Gene Krupa,CH
Pee Wee Russell,Eddie Condon,CH
Pee Wee Russell,Fats Waller,CH
Pee Wee Russell,John Kirby (musician),CH
Pee Wee Russell,Bud Freeman,CH
Pee Wee Russell,Edmond Hall,CH
Pee Wee Russell,Cozy Cole,CH
Pee Wee Russell,Jack Lesberg,CH
Pee Wee Russell,Bill Davison,CH
Pee Wee Russell,Sidney Bechet,CH
Pee Wee Russell,Kansas Fields,CH
Pee Wee Russell,Bob Haggart,CH
Pee Wee Russell,Benny Morton,CH
Pee Wee Russell,Dave Tough,CH
Pee Wee Russell,Sammy Price,CH
Pee Wee Russell,Kaiser Marshall,CH
Pee Wee Russell,Tommy Dorsey,CH
Pee Wee Russell,Bobby Hackett,CH
Pee Wee Russell,Yank Lawson,CH
Pee Wee Russell,Bill Coleman,CH
Pee Wee Russell,George Wettling,CH
Pee Wee Russell,Woody Herman,CH
Pee Wee Russell,Miff Mole,CH
Pee Wee Russell,Joe Marsala,CH
Pee Wee Russell,Danny Alvin,CH
Pee Wee Russell,Tony Parenti,CH
Pee Wee Russell,James P. Johnson,CH
Pee Wee Russell,Baby Dodds,CH
Pee Wee Russell,Harry Belafonte,CH
Pee Wee Russell,Artie Shaw,CH
Pee Wee Russell,Barney Bigard,CH
Pee Wee Russell,Joe Thomas (saxophonist),CH
Helen Humes,Buddy Rich,CH
Helen Humes,Flip Phillips,CH
Helen Humes,Buck Clayton,CH
Helen Humes,Roy Eldridge,CH
Helen Humes,Coleman Hawkins,CH
Helen Humes,Trummy Young,CH
Helen Humes,Charlie Parker,CH
Helen Humes,Eddie Safranski,CH
Helen Humes,Harry Carney,CH
Helen Humes,Hank Jones,CH
Helen Humes,Oscar Pettiford,CH
Helen Humes,Lennie Tristano,CH
Helen Humes,Kai Winding,CH
Helen Humes,Billy Strayhorn,CH
Helen Humes,Dicky Wells,CH
Helen Humes,Freddie Green,CH
Helen Humes,Count Basie,CH
Helen Humes,Lester Young,CH
Helen Humes,Herschel Evans,CH
Helen Humes,Harry Edison,CH
Helen Humes,Jimmy Rushing,CH
Helen Humes,Earle Warren,CH
Helen Humes,Walter Page,CH
Helen Humes,Meade Lux Lewis,CH
Helen Humes,Eddie Durham,CH
Helen Humes,Pete Johnson,CH
Helen Humes,Ed Lewis (musician),CH
Helen Humes,Joe Turner (jazz pianist),CH
Helen Humes,Shad Collins,CH
Helen Humes,Benny Morton,CH
Helen Humes,Dan Minor,CH
Helen Humes,Sidney Bechet,CH
Helen Humes,Jo Jones,CH
Helen Humes,James P. Johnson,CH
Helen Humes,Ray Brown (musician),CH
Helen Humes,Illinois Jacquet,CH
Helen Humes,Howard McGhee,CH
Helen Humes,J. C. Heard,CH
Art Tatum,Slam Stewart,CH
Art Tatum,Shelly Manne,CH
Art Tatum,Stan Kenton,CH
Art Tatum,Shorty Rogers,CH
Art Tatum,Charlie Ventura,CH
Art Tatum,Billy Kyle,CH
Art Tatum,Pete Johnson,CH
Art Tatum,Russell Procope,CH
Art Tatum,Edmond Hall,CH
Art Tatum,J. C. Higginbotham,CH
Art Tatum,Hazel Scott,CH
Art Tatum,Lena Horne,CH
Art Tatum,Buster Bailey,CH
Art Tatum,Charlie Shavers,CH
Art Tatum,Eddie South,CH
Art Tatum,John Kirby (musician),CH
Kansas Fields,Edmond Hall,CH
Kansas Fields,Max Kaminsky (musician),CH
Kansas Fields,Cozy Cole,CH
Kansas Fields,Eddie Condon,CH
Kansas Fields,Jack Lesberg,CH
Kansas Fields,Bill Davison,CH
Kansas Fields,Sidney Bechet,CH
Kansas Fields,Bob Haggart,CH
Kansas Fields,Benny Morton,CH
Kansas Fields,Dave Tough,CH
Kansas Fields,Sammy Price,CH
Kansas Fields,Kaiser Marshall,CH
Kansas Fields,Tommy Dorsey,CH
Kansas Fields,Bobby Hackett,CH
Kansas Fields,Yank Lawson,CH
Kansas Fields,Bill Coleman,CH
Kansas Fields,Pee Wee Russell,CH
Kansas Fields,George Wettling,CH
Kansas Fields,Woody Herman,CH
Kansas Fields,Miff Mole,CH
Kansas Fields,Hot Lips Page,CH
Kansas Fields,Joe Marsala,CH
Kansas Fields,Danny Alvin,CH
Kansas Fields,Barney Bigard,CH
Kansas Fields,Joe Thomas (saxophonist),CH
Kansas Fields,James P. Johnson,CH
Ralph Cooper (Apollo),Hot Lips Page,CH
Ralph Cooper (Apollo),Mildred Bailey,CH
Ralph Cooper (Apollo),Jimmy Rushing,CH
Ralph Cooper (Apollo),Count Basie,CH
Ralph Cooper (Apollo),Erskine Hawkins,CH
Ralph Cooper (Apollo),Oscar Pettiford,CH
Ralph Cooper (Apollo),Josh White,CH
Ralph Cooper (Apollo),Teddy Wilson,CH
Ralph Cooper (Apollo),Hazel Scott,CH
Ralph Cooper (Apollo),Billie Holiday,CH
Ralph Cooper (Apollo),Trummy Young,CH
Ralph Cooper (Apollo),Pops Foster,CH
Ralph Cooper (Apollo),Ben Webster,CH
Ralph Cooper (Apollo),Sid Catlett,CH
Ralph Cooper (Apollo),Thelma Carpenter,CH
Ralph Cooper (Apollo),Mary Lou Williams,CH
Ralph Cooper (Apollo),Cozy Cole,CH
Frank Foster (musician),Charlie Parker,CH
Frank Foster (musician),Gus Johnson (jazz musician),CH
Frank Foster (musician),Kenny Clarke,CH
Frank Foster (musician),Joe Benjamin,CH
Frank Foster (musician),Lester Young,CH
Frank Foster (musician),Billie Holiday,CH
Frank Foster (musician),Count Basie,CH
Frank Foster (musician),Sarah Vaughan,CH
Frank Foster (musician),Benny Powell,CH
Frank Foster (musician),John Lewis (pianist),CH
Frank Foster (musician),Jimmy Jones (pianist),CH
Frank Foster (musician),Frank Wess,CH
Frank Foster (musician),Roy Haynes,CH
Frank Foster (musician),Joe Newman (trumpeter),CH
Frank Foster (musician),Percy Heath,CH
Frank Foster (musician),Henry Coker,CH
Larry Darnell,Eddie Heywood,CH
Larry Darnell,Nat King Cole,CH
Larry Darnell,Lucky Millinder,CH
Larry Darnell,Lionel Hampton,CH
Larry Darnell,Louis Jordan,CH
Larry Darnell,Dinah Washington,CH
Larry Darnell,Billy Eckstine,CH
Louis Jordan,Woody Herman,CH
Louis Jordan,Frankie Laine,CH
Louis Jordan,Ella Fitzgerald,CH
Louis Jordan,Eddie Heywood,CH
Louis Jordan,Nat King Cole,CH
Louis Jordan,Lucky Millinder,CH
Louis Jordan,Lionel Hampton,CH
Louis Jordan,Dinah Washington,CH
Louis Jordan,Billy Eckstine,CH
Louis Jordan,Larry Darnell,CH
Pete Candoli,Conrad Gozzo,CH
Pete Candoli,Red Norvo,CH
Pete Candoli,Don Lamond,CH
Pete Candoli,Ralph Burns,CH
Pete Candoli,Flip Phillips,CH
Pete Candoli,Shorty Rogers,CH
Pete Candoli,Woody Herman,CH
Bud Powell,Tommy Potter,CH
Bud Powell,Red Rodney,CH
Bud Powell,Symphony Sid,CH
Bud Powell,Sarah Vaughan,CH
Bud Powell,Sonny Stitt,CH
Bud Powell,Roy Haynes,CH
Bud Powell,Al Haig,CH
Bud Powell,Lennie Tristano,CH
Bud Powell,Kai Winding,CH
Bud Powell,Stan Getz,CH
Bud Powell,Serge Chaloff,CH
Bud Powell,Lee Konitz,CH
Bud Powell,Charlie Parker,CH
Bud Powell,Max Roach,CH
Bud Powell,Miles Davis,CH
Bud Powell,Dizzy Gillespie,CH
Bud Powell,Hank Jones,CH
Bud Powell,Ray Brown (musician),CH
Bud Powell,Ella Fitzgerald,CH
Bud Powell,Ralph Burns,CH
Bud Powell,Billie Holiday,CH
Bud Powell,Stan Kenton,CH
Jonah Jones,Benny Goodman,CH
Jonah Jones,Wardell Gray,CH
Jonah Jones,Morey Feld,CH
Jonah Jones,Teddy Wilson,CH
Erroll Garner,Lester Young,CH
Erroll Garner,John Lewis (pianist),CH
Erroll Garner,John Collins (jazz guitarist),CH
Erroll Garner,Jimmy Jones (pianist),CH
Erroll Garner,Shadow Wilson,CH
Erroll Garner,Sarah Vaughan,CH
Erroll Garner,Jo Jones,CH
Erroll Garner,Count Basie,CH
Erroll Garner,Stan Getz,CH
Erroll Garner,George Shearing,CH
Erroll Garner,Buck Clayton,CH
Erroll Garner,Milt Hinton,CH
Erroll Garner,Billie Holiday,CH
Erroll Garner,Urbie Green,CH
Erroll Garner,Gene Krupa,CH
